cust1,cust2,dc_cost,dc_op_cost,cust1_cost,cust1_op_cost,cust1_no_der_op_cost,cust2_cost,cust2_op_cost,cust2_no_der_op_cost,dissimilarity,simulation_days,PV1_peak,PV1_cost,PV2_peak,PV2_cost,Battery1_capacity,Battery1_cost,Battery2_capacity,Battery2_cost
0,1,28950,-44.306,14491,-5.7842,42.929,14465,-32.247,28.08,0,21,4,5697,4,5697,12,8800,12,8800
0,2,28953,-41.449,14491,-5.7842,42.929,14470,-26.571,47.583,0,21,4,5697,4,5697,12,8800,12,8800
0,3,28975,-19.243,14491,-5.7842,42.929,14493,-3.6259,59.537,0,21,4,5697,4,5697,12,8800,12,8800
0,4,28965,-28.846,14491,-5.7842,42.929,14481,-15.792,22.808,0,21,4,5697,4,5697,12,8800,12,8800
0,5,28985,-9.347,14491,-5.7842,42.929,14507,9.8605,90.822,0,21,4,5697,4,5697,12,8800,12,8800
0,6,28994,-0.03517,14491,-5.7842,42.929,14517,20.283,70.242,0,21,4,5697,4,5697,12,8800,12,8800
0,7,29006,12.216,14491,-5.7842,42.929,14530,32.894,104.55,0,21,4,5697,4,5697,12,8800,12,8800
0,8,28951,-43.356,14491,-5.7842,42.929,14469,-27.513,32.643,0,21,4,5697,4,5697,12,8800,12,8800
0,9,28971,-22.636,14491,-5.7842,42.929,14493,-4.4792,78.356,0,21,4,5697,4,5697,12,8800,12,8800
0,10,28966,-27.886,14491,-5.7842,42.929,14487,-9.5684,50.523,0,21,4,5697,4,5697,12,8800,12,8800
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,28985,-8.9378,14491,-5.7842,42.929,14508,10.978,82.13,0,21,4,5697,4,5697,12,8800,12,8800
0,13,29016,22.02,14491,-5.7842,42.929,14541,43.808,111.2,0,21,4,5697,4,5697,12,8800,12,8800
0,14,28951,-43.428,14491,-5.7842,42.929,14469,-27.535,36.793,0,21,4,5697,4,5697,12,8800,12,8800
0,15,28978,-15.687,14491,-5.7842,42.929,14498,0.69287,44.673,0,21,4,5697,4,5697,12,8800,12,8800
0,16,28982,-12.448,14491,-5.7842,42.929,14505,7.6073,81.727,0,21,4,5697,4,5697,12,8800,12,8800
0,17,28981,-13.157,14491,-5.7842,42.929,14504,6.7728,68.792,0,21,4,5697,4,5697,12,8800,12,8800
0,18,29001,7.453,14491,-5.7842,42.929,14526,28.698,90.999,0,21,4,5697,4,5697,12,8800,12,8800
0,19,28969,-25.176,14491,-5.7842,42.929,14485,-12.052,27.15,0,21,4,5697,4,5697,12,8800,12,8800
0,20,29040,46.237,14491,-5.7842,42.929,14565,67.629,67.629,0,21,4,5697,4,5697,12,8800,12,8800
0,21,28956,-38.351,14491,-5.7842,42.929,14473,-23.767,46.336,0,21,4,5697,4,5697,12,8800,12,8800
0,22,28973,-20.933,14491,-5.7842,42.929,14494,-2.6525,58.642,0,21,4,5697,4,5697,12,8800,12,8800
0,23,28968,-25.999,14491,-5.7842,42.929,14489,-8.4468,63.387,0,21,4,5697,4,5697,12,8800,12,8800
0,24,28973,-20.846,14491,-5.7842,42.929,14495,-2.0277,55.126,0,21,4,5697,4,5697,12,8800,12,8800
0,25,28971,-23.485,14491,-5.7842,42.929,14488,-9.3634,32.646,0,21,4,5697,4,5697,12,8800,12,8800
0,26,28988,-6.2422,14491,-5.7842,42.929,14503,6.3414,23.762,0,21,4,5697,4,5697,12,8800,12,8800
0,27,29047,52.732,14491,-5.7842,42.929,14573,76.359,156.5,0,21,4,5697,4,5697,12,8800,12,8800
0,28,28988,-6.1949,14491,-5.7842,42.929,14511,14.242,85.073,0,21,4,5697,4,5697,12,8800,12,8800
0,29,28981,-12.944,14491,-5.7842,42.929,14503,5.6076,70.825,0,21,4,5697,4,5697,12,8800,12,8800
0,30,29087,92.538,14491,-5.7842,42.929,14617,119.63,208.75,0,21,4,5697,4,5697,12,8800,12,8800
0,31,28953,-41.113,14491,-5.7842,42.929,14471,-26.205,56.309,0,21,4,5697,4,5697,12,8800,12,8800
1,2,28923,-71.042,14461,-35.581,28.08,14470,-26.571,47.583,0,21,4,5697,4,5697,12,8800,12,8800
1,3,28943,-51.211,14461,-35.581,28.08,14493,-3.6259,59.537,0,21,4,5697,4,5697,12,8800,12,8800
1,4,28938,-56.002,14461,-35.581,28.08,14481,-15.792,22.808,0,21,4,5697,4,5697,12,8800,12,8800
1,5,28952,-42.12,14461,-35.581,28.08,14507,9.8605,90.822,0,21,4,5697,4,5697,12,8800,12,8800
1,6,28961,-33.029,14461,-35.581,28.08,14517,20.283,70.242,0,21,4,5697,4,5697,12,8800,12,8800
1,7,28971,-23.087,14461,-35.581,28.08,14530,32.894,104.55,0,21,4,5697,4,5697,12,8800,12,8800
1,8,28922,-71.716,14461,-35.581,28.08,14469,-27.513,32.643,0,21,4,5697,4,5697,12,8800,12,8800
1,9,28939,-54.649,14461,-35.581,28.08,14493,-4.4792,78.356,0,21,4,5697,4,5697,12,8800,12,8800
1,10,28936,-57.712,14461,-35.581,28.08,14487,-9.5684,50.523,0,21,4,5697,4,5697,12,8800,12,8800
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,28952,-42.487,14461,-35.581,28.08,14508,10.978,82.13,0,21,4,5697,4,5697,12,8800,12,8800
1,13,28980,-14.257,14461,-35.581,28.08,14541,43.808,111.2,0,21,4,5697,4,5697,12,8800,12,8800
1,14,28922,-72.382,14461,-35.581,28.08,14469,-27.535,36.793,0,21,4,5697,4,5697,12,8800,12,8800
1,15,28949,-45.321,14461,-35.581,28.08,14498,0.69287,44.673,0,21,4,5697,4,5697,12,8800,12,8800
1,16,28952,-42.306,14461,-35.581,28.08,14505,7.6073,81.727,0,21,4,5697,4,5697,12,8800,12,8800
1,17,28948,-45.708,14461,-35.581,28.08,14504,6.7728,68.792,0,21,4,5697,4,5697,12,8800,12,8800
1,18,28966,-27.642,14461,-35.581,28.08,14526,28.698,90.999,0,21,4,5697,4,5697,12,8800,12,8800
1,19,28941,-52.913,14461,-35.581,28.08,14485,-12.052,27.15,0,21,4,5697,4,5697,12,8800,12,8800
1,20,28997,2.6458,14461,-35.581,28.08,14565,67.629,67.629,0,21,4,5697,4,5697,12,8800,12,8800
1,21,28927,-67.367,14461,-35.581,28.08,14473,-23.767,46.336,0,21,4,5697,4,5697,12,8800,12,8800
1,22,28943,-51.455,14461,-35.581,28.08,14494,-2.6525,58.642,0,21,4,5697,4,5697,12,8800,12,8800
1,23,28937,-56.565,14461,-35.581,28.08,14489,-8.4468,63.387,0,21,4,5697,4,5697,12,8800,12,8800
1,24,28943,-51.014,14461,-35.581,28.08,14495,-2.0277,55.126,0,21,4,5697,4,5697,12,8800,12,8800
1,25,28943,-50.76,14461,-35.581,28.08,14488,-9.3634,32.646,0,21,4,5697,4,5697,12,8800,12,8800
1,26,28959,-34.943,14461,-35.581,28.08,14503,6.3414,23.762,0,21,4,5697,4,5697,12,8800,12,8800
1,27,29010,15.625,14461,-35.581,28.08,14573,76.359,156.5,0,21,4,5697,4,5697,12,8800,12,8800
1,28,28955,-39.005,14461,-35.581,28.08,14511,14.242,85.073,0,21,4,5697,4,5697,12,8800,12,8800
1,29,28951,-43.279,14461,-35.581,28.08,14503,5.6076,70.825,0,21,4,5697,4,5697,12,8800,12,8800
1,30,29045,51.454,14461,-35.581,28.08,14617,119.63,208.75,0,21,4,5697,4,5697,12,8800,12,8800
1,31,28924,-69.621,14461,-35.581,28.08,14471,-26.205,56.309,0,21,4,5697,4,5697,12,8800,12,8800
2,3,28946,-48.307,14463,-34.245,47.583,14493,-3.6259,59.537,0,21,4,5697,4,5697,12,8800,12,8800
2,4,28938,-55.762,14463,-34.245,47.583,14481,-15.792,22.808,0,21,4,5697,4,5697,12,8800,12,8800
2,5,28957,-37.462,14463,-34.245,47.583,14507,9.8605,90.822,0,21,4,5697,4,5697,12,8800,12,8800
2,6,28965,-28.98,14463,-34.245,47.583,14517,20.283,70.242,0,21,4,5697,4,5697,12,8800,12,8800
2,7,28977,-17.182,14463,-34.245,47.583,14530,32.894,104.55,0,21,4,5697,4,5697,12,8800,12,8800
2,8,28923,-70.558,14463,-34.245,47.583,14469,-27.513,32.643,0,21,4,5697,4,5697,12,8800,12,8800
2,9,28943,-50.566,14463,-34.245,47.583,14493,-4.4792,78.356,0,21,4,5697,4,5697,12,8800,12,8800
2,10,28938,-56.416,14463,-34.245,47.583,14487,-9.5684,50.523,0,21,4,5697,4,5697,12,8800,12,8800
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,12,28956,-37.56,14463,-34.245,47.583,14508,10.978,82.13,0,21,4,5697,4,5697,12,8800,12,8800
2,13,28985,-8.9396,14463,-34.245,47.583,14541,43.808,111.2,0,21,4,5697,4,5697,12,8800,12,8800
2,14,28923,-70.794,14463,-34.245,47.583,14469,-27.535,36.793,0,21,4,5697,4,5697,12,8800,12,8800
2,15,28950,-43.733,14463,-34.245,47.583,14498,0.69287,44.673,0,21,4,5697,4,5697,12,8800,12,8800
2,16,28953,-41.171,14463,-34.245,47.583,14505,7.6073,81.727,0,21,4,5697,4,5697,12,8800,12,8800
2,17,28952,-41.933,14463,-34.245,47.583,14504,6.7728,68.792,0,21,4,5697,4,5697,12,8800,12,8800
2,18,28971,-22.82,14463,-34.245,47.583,14526,28.698,90.999,0,21,4,5697,4,5697,12,8800,12,8800
2,19,28942,-52.446,14463,-34.245,47.583,14485,-12.052,27.15,0,21,4,5697,4,5697,12,8800,12,8800
2,20,29002,7.6534,14463,-34.245,47.583,14565,67.629,67.629,0,21,4,5697,4,5697,12,8800,12,8800
2,21,28928,-65.853,14463,-34.245,47.583,14473,-23.767,46.336,0,21,4,5697,4,5697,12,8800,12,8800
2,22,28945,-48.999,14463,-34.245,47.583,14494,-2.6525,58.642,0,21,4,5697,4,5697,12,8800,12,8800
2,23,28940,-53.907,14463,-34.245,47.583,14489,-8.4468,63.387,0,21,4,5697,4,5697,12,8800,12,8800
2,24,28946,-48.056,14463,-34.245,47.583,14495,-2.0277,55.126,0,21,4,5697,4,5697,12,8800,12,8800
2,25,28943,-50.516,14463,-34.245,47.583,14488,-9.3634,32.646,0,21,4,5697,4,5697,12,8800,12,8800
2,26,28960,-34.149,14463,-34.245,47.583,14503,6.3414,23.762,0,21,4,5697,4,5697,12,8800,12,8800
2,27,29015,21.018,14463,-34.245,47.583,14573,76.359,156.5,0,21,4,5697,4,5697,12,8800,12,8800
2,28,28959,-34.956,14463,-34.245,47.583,14511,14.242,85.073,0,21,4,5697,4,5697,12,8800,12,8800
2,29,28952,-41.628,14463,-34.245,47.583,14503,5.6076,70.825,0,21,4,5697,4,5697,12,8800,12,8800
2,30,29052,57.788,14463,-34.245,47.583,14617,119.63,208.75,0,21,4,5697,4,5697,12,8800,12,8800
2,31,28925,-69.004,14463,-34.245,47.583,14471,-26.205,56.309,0,21,4,5697,4,5697,12,8800,12,8800
3,4,28958,-35.686,14486,-11.475,59.537,14481,-15.792,22.808,0,21,4,5697,4,5697,12,8800,12,8800
3,5,28979,-15.181,14486,-11.475,59.537,14507,9.8605,90.822,0,21,4,5697,4,5697,12,8800,12,8800
3,6,28988,-5.7318,14486,-11.475,59.537,14517,20.283,70.242,0,21,4,5697,4,5697,12,8800,12,8800
3,7,29000,5.9963,14486,-11.475,59.537,14530,32.894,104.55,0,21,4,5697,4,5697,12,8800,12,8800
3,8,28943,-50.768,14486,-11.475,59.537,14469,-27.513,32.643,0,21,4,5697,4,5697,12,8800,12,8800
3,9,28965,-29.376,14486,-11.475,59.537,14493,-4.4792,78.356,0,21,4,5697,4,5697,12,8800,12,8800
3,10,28959,-35.26,14486,-11.475,59.537,14487,-9.5684,50.523,0,21,4,5697,4,5697,12,8800,12,8800
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,28979,-15.399,14486,-11.475,59.537,14508,10.978,82.13,0,21,4,5697,4,5697,12,8800,12,8800
3,13,29010,16.228,14486,-11.475,59.537,14541,43.808,111.2,0,21,4,5697,4,5697,12,8800,12,8800
3,14,28944,-50.304,14486,-11.475,59.537,14469,-27.535,36.793,0,21,4,5697,4,5697,12,8800,12,8800
3,15,28972,-21.945,14486,-11.475,59.537,14498,0.69287,44.673,0,21,4,5697,4,5697,12,8800,12,8800
3,16,28975,-19.048,14486,-11.475,59.537,14505,7.6073,81.727,0,21,4,5697,4,5697,12,8800,12,8800
3,17,28973,-20.874,14486,-11.475,59.537,14504,6.7728,68.792,0,21,4,5697,4,5697,12,8800,12,8800
3,18,28994,0.47584,14486,-11.475,59.537,14526,28.698,90.999,0,21,4,5697,4,5697,12,8800,12,8800
3,19,28962,-31.939,14486,-11.475,59.537,14485,-12.052,27.15,0,21,4,5697,4,5697,12,8800,12,8800
3,20,29031,36.875,14486,-11.475,59.537,14565,67.629,67.629,0,21,4,5697,4,5697,12,8800,12,8800
3,21,28948,-45.747,14486,-11.475,59.537,14473,-23.767,46.336,0,21,4,5697,4,5697,12,8800,12,8800
3,22,28966,-27.99,14486,-11.475,59.537,14494,-2.6525,58.642,0,21,4,5697,4,5697,12,8800,12,8800
3,23,28962,-32.251,14486,-11.475,59.537,14489,-8.4468,63.387,0,21,4,5697,4,5697,12,8800,12,8800
3,24,28966,-27.681,14486,-11.475,59.537,14495,-2.0277,55.126,0,21,4,5697,4,5697,12,8800,12,8800
3,25,28964,-30.144,14486,-11.475,59.537,14488,-9.3634,32.646,0,21,4,5697,4,5697,12,8800,12,8800
3,26,28982,-11.828,14486,-11.475,59.537,14503,6.3414,23.762,0,21,4,5697,4,5697,12,8800,12,8800
3,27,29040,45.514,14486,-11.475,59.537,14573,76.359,156.5,0,21,4,5697,4,5697,12,8800,12,8800
3,28,28981,-13.357,14486,-11.475,59.537,14511,14.242,85.073,0,21,4,5697,4,5697,12,8800,12,8800
3,29,28974,-19.609,14486,-11.475,59.537,14503,5.6076,70.825,0,21,4,5697,4,5697,12,8800,12,8800
3,30,29080,85.843,14486,-11.475,59.537,14617,119.63,208.75,0,21,4,5697,4,5697,12,8800,12,8800
3,31,28946,-48.423,14486,-11.475,59.537,14471,-26.205,56.309,0,21,4,5697,4,5697,12,8800,12,8800
4,5,28969,-25.326,14477,-20.097,22.808,14507,9.8605,90.822,0,21,4,5697,4,5697,12,8800,12,8800
4,6,28978,-16.21,14477,-20.097,22.808,14517,20.283,70.242,0,21,4,5697,4,5697,12,8800,12,8800
4,7,28989,-5.3209,14477,-20.097,22.808,14530,32.894,104.55,0,21,4,5697,4,5697,12,8800,12,8800
4,8,28938,-55.628,14477,-20.097,22.808,14469,-27.513,32.643,0,21,4,5697,4,5697,12,8800,12,8800
4,9,28955,-38.579,14477,-20.097,22.808,14493,-4.4792,78.356,0,21,4,5697,4,5697,12,8800,12,8800
4,10,28952,-42.305,14477,-20.097,22.808,14487,-9.5684,50.523,0,21,4,5697,4,5697,12,8800,12,8800
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,12,28968,-25.7,14477,-20.097,22.808,14508,10.978,82.13,0,21,4,5697,4,5697,12,8800,12,8800
4,13,28999,4.8776,14477,-20.097,22.808,14541,43.808,111.2,0,21,4,5697,4,5697,12,8800,12,8800
4,14,28937,-57.12,14477,-20.097,22.808,14469,-27.535,36.793,0,21,4,5697,4,5697,12,8800,12,8800
4,15,28964,-29.953,14477,-20.097,22.808,14498,0.69287,44.673,0,21,4,5697,4,5697,12,8800,12,8800
4,16,28967,-26.636,14477,-20.097,22.808,14505,7.6073,81.727,0,21,4,5697,4,5697,12,8800,12,8800
4,17,28965,-29.477,14477,-20.097,22.808,14504,6.7728,68.792,0,21,4,5697,4,5697,12,8800,12,8800
4,18,28984,-9.9077,14477,-20.097,22.808,14526,28.698,90.999,0,21,4,5697,4,5697,12,8800,12,8800
4,19,28957,-37.475,14477,-20.097,22.808,14485,-12.052,27.15,0,21,4,5697,4,5697,12,8800,12,8800
4,20,29020,25.824,14477,-20.097,22.808,14565,67.629,67.629,0,21,4,5697,4,5697,12,8800,12,8800
4,21,28942,-51.943,14477,-20.097,22.808,14473,-23.767,46.336,0,21,4,5697,4,5697,12,8800,12,8800
4,22,28958,-36.006,14477,-20.097,22.808,14494,-2.6525,58.642,0,21,4,5697,4,5697,12,8800,12,8800
4,23,28953,-40.927,14477,-20.097,22.808,14489,-8.4468,63.387,0,21,4,5697,4,5697,12,8800,12,8800
4,24,28959,-35.036,14477,-20.097,22.808,14495,-2.0277,55.126,0,21,4,5697,4,5697,12,8800,12,8800
4,25,28959,-35.342,14477,-20.097,22.808,14488,-9.3634,32.646,0,21,4,5697,4,5697,12,8800,12,8800
4,26,28974,-19.518,14477,-20.097,22.808,14503,6.3414,23.762,0,21,4,5697,4,5697,12,8800,12,8800
4,27,29029,35.156,14477,-20.097,22.808,14573,76.359,156.5,0,21,4,5697,4,5697,12,8800,12,8800
4,28,28972,-21.962,14477,-20.097,22.808,14511,14.242,85.073,0,21,4,5697,4,5697,12,8800,12,8800
4,29,28967,-27.042,14477,-20.097,22.808,14503,5.6076,70.825,0,21,4,5697,4,5697,12,8800,12,8800
4,30,29067,73.169,14477,-20.097,22.808,14617,119.63,208.75,0,21,4,5697,4,5697,12,8800,12,8800
4,31,28940,-54.22,14477,-20.097,22.808,14471,-26.205,56.309,0,21,4,5697,4,5697,12,8800,12,8800
5,6,29000,6.087,14497,-0.19194,90.822,14517,20.283,70.242,0,21,4,5697,4,5697,12,8800,12,8800
5,7,29013,18.682,14497,-0.19194,90.822,14530,32.894,104.55,0,21,4,5697,4,5697,12,8800,12,8800
5,8,28954,-40.472,14497,-0.19194,90.822,14469,-27.513,32.643,0,21,4,5697,4,5697,12,8800,12,8800
5,9,28977,-16.845,14497,-0.19194,90.822,14493,-4.4792,78.356,0,21,4,5697,4,5697,12,8800,12,8800
5,10,28969,-24.955,14497,-0.19194,90.822,14487,-9.5684,50.523,0,21,4,5697,4,5697,12,8800,12,8800
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,12,28991,-2.8108,14497,-0.19194,90.822,14508,10.978,82.13,0,21,4,5697,4,5697,12,8800,12,8800
5,13,29022,28.467,14497,-0.19194,90.822,14541,43.808,111.2,0,21,4,5697,4,5697,12,8800,12,8800
5,14,28955,-39.417,14497,-0.19194,90.822,14469,-27.535,36.793,0,21,4,5697,4,5697,12,8800,12,8800
5,15,28983,-11.32,14497,-0.19194,90.822,14498,0.69287,44.673,0,21,4,5697,4,5697,12,8800,12,8800
5,16,28986,-8.255,14497,-0.19194,90.822,14505,7.6073,81.727,0,21,4,5697,4,5697,12,8800,12,8800
5,17,28985,-8.5091,14497,-0.19194,90.822,14504,6.7728,68.792,0,21,4,5697,4,5697,12,8800,12,8800
5,18,29007,13.114,14497,-0.19194,90.822,14526,28.698,90.999,0,21,4,5697,4,5697,12,8800,12,8800
5,19,28972,-21.835,14497,-0.19194,90.822,14485,-12.052,27.15,0,21,4,5697,4,5697,12,8800,12,8800
5,20,29042,48.087,14497,-0.19194,90.822,14565,67.629,67.629,0,21,4,5697,4,5697,12,8800,12,8800
5,21,28959,-35.493,14497,-0.19194,90.822,14473,-23.767,46.336,0,21,4,5697,4,5697,12,8800,12,8800
